Error Type,Topic Guid,Message
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Found invalid tables saving file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a2664289-6c56-4cb1-987a-22367fad55eb,Found a an ul list inside a table in html file:a2664289-6c56-4cb1-987a-22367fad55eb.xml
Warning,a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45,Video is found in md file:a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45.md total found:1
Warning,a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Vous pouvez utiliser un élément de &lt;lien&gt; pour référencer le fichier CSS en créant une URL à partir de l'URL du Web hôte- comme illustré dans cet exemple.</p> in md file:a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45.md total found:0
Warning,a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Hérité de l'utilisation de &lt;a&gt;. </p> in md file:a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45.md total found:0
Warning,b22ce52a-ae9e-4831-9b68-c9210af6dc54,Found a an ul list inside a table in html file:b22ce52a-ae9e-4831-9b68-c9210af6dc54.xml
Warning,b33a61d7-5bc9-4720-97a5-8475d9a0d7c5,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;créer nouveau&gt;</p> in md file:b33a61d7-5bc9-4720-97a5-8475d9a0d7c5.md total found:0
Warning,b33a61d7-5bc9-4720-97a5-8475d9a0d7c5,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;créer nouveau&gt;</p> in md file:b33a61d7-5bc9-4720-97a5-8475d9a0d7c5.md total found:0
